pair_id,solo_accuracy,solo_precision,solo_recall,solo_f1,similarity,fedavg_accuracy,fedavg_precision,fedavg_recall,fedavg_f1,fedprox_accuracy,fedprox_precision,fedprox_recall,fedprox_f1,scaffold_accuracy,scaffold_precision,scaffold_recall,scaffold_f1,fedov_accuracy,fedov_precision,fedov_recall,fedov_f1,combined_accuracy,combined_precision,combined_recall,combined_f1
07052_80731,0.8983050847457628,0.9092009685230025,0.8983050847457628,0.875759513911097,0.9976989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.847457627118644,0.7181844297615627,0.847457627118644,0.7774840615767377,0.9830508474576272,0.9833831837819873,0.9830508474576272,0.982636249666841,0.9152542372881356,0.9229583975346687,0.9152542372881356,0.900974731483206
43728_47921,0.8916666666666667,0.9458333333333333,0.8916666666666667,0.9062189054726368,0.99780136,0.18333333333333332,0.9043543543543543,0.18333333333333332,0.16107712272895813,0.5166666666666667,0.9115023474178404,0.5166666666666667,0.5936813186813186,0.925,0.9308189655172414,0.925,0.9066605117383275,1.0,1.0,1.0,1.0,0.8833333333333333,0.9438271604938271,0.8833333333333333,0.8996666666666667
83622_84896,0.5301204819277109,0.5775025568110954,0.5301204819277109,0.47309663569778876,0.99760044,0.5120481927710844,0.6423741675832843,0.5120481927710844,0.3935657352929372,0.4939759036144578,0.6235683474639299,0.4939759036144578,0.3491851704338013,0.4939759036144578,0.4693307391054903,0.4939759036144578,0.43089022757697454,0.5903614457831325,0.5944388600229354,0.5903614457831325,0.589289717007565,0.5903614457831325,0.5897633085533623,0.5903614457831325,0.5886845628126542
59422_60889,0.47058823529411764,0.5450980392156862,0.47058823529411764,0.4066598602057645,0.9974824,0.4470588235294118,0.5335595776772247,0.4470588235294118,0.3802891873260207,0.4470588235294118,0.5335595776772247,0.4470588235294118,0.3802891873260207,0.4117647058823529,0.1695501730103806,0.4117647058823529,0.24019607843137256,0.47058823529411764,0.6058678999855471,0.47058823529411764,0.39606132722302334,0.5529411764705883,0.5797378301824649,0.5529411764705883,0.5551715142819877
34629_44199,0.8260869565217391,0.8269394714407502,0.8260869565217391,0.8190993788819876,0.9986149,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.8913043478260869,0.8936414145868241,0.8913043478260869,0.8920301020522097,0.6521739130434783,0.42533081285444235,0.6521739130434783,0.5148741418764302,0.6521739130434783,0.42533081285444235,0.6521739130434783,0.5148741418764302,0.6304347826086957,0.540613414223121,0.6304347826086957,0.5369110686185385
49737_96671,0.88,0.8081632653061225,0.88,0.8425531914893617,0.9978974,0.9,0.81,0.9,0.8526315789473684,0.9,0.81,0.9,0.8526315789473684,0.1,0.01,0.1,0.018181818181818184,0.9,0.81,0.9,0.8526315789473684,0.88,0.8081632653061225,0.88,0.8425531914893617
46379_83188,0.8478260869565217,0.859113712374582,0.8478260869565217,0.8498451020190151,0.99816376,0.8913043478260869,0.8933747412008283,0.8913043478260869,0.8919036722240383,0.8913043478260869,0.8933747412008283,0.8913043478260869,0.8919036722240383,0.5869565217391305,0.38685770750988147,0.5869565217391305,0.46634901727218575,0.6304347826086957,0.39744801512287337,0.6304347826086957,0.487536231884058,0.8478260869565217,0.859113712374582,0.8478260869565217,0.8498451020190151
34877_86946,0.2,0.04,0.2,0.06666666666666667,0.99833065,0.2,0.04,0.2,0.06666666666666667,0.2,0.04,0.2,0.06666666666666667,0.8,0.64,0.8,0.711111111111111,0.8,0.9,0.8,0.819047619047619,0.2,0.04,0.2,0.06666666666666667
22848_23979,0.05504587155963303,0.5461156939840156,0.05504587155963303,0.07048083837932076,0.9979534,0.06422018348623854,0.5972386229448633,0.06422018348623854,0.08692104156878262,0.06422018348623854,0.5972386229448633,0.06422018348623854,0.08692104156878262,0.9541284403669725,0.9103610807171114,0.9541284403669725,0.9317310591377008,0.7431192660550459,0.9610786766750069,0.7431192660550459,0.8177799238156553,0.06422018348623854,0.5972386229448633,0.06422018348623854,0.08692104156878262
48451_52351,0.5405405405405406,0.5974532224532224,0.5405405405405406,0.5344817344817345,0.9983008,0.5945945945945946,0.5832432432432432,0.5945945945945946,0.585010542457351,0.5945945945945946,0.5832432432432432,0.5945945945945946,0.585010542457351,0.6216216216216216,0.6146916146916147,0.6216216216216216,0.6163337250293772,0.5945945945945946,0.66008316008316,0.5945945945945946,0.5892485892485892,0.5405405405405406,0.5974532224532224,0.5405405405405406,0.5344817344817345
11600_31053,0.5909090909090909,0.5765579290169455,0.5909090909090909,0.578870196017904,0.9977718,0.5909090909090909,0.5799107380054195,0.5909090909090909,0.5826907467532467,0.5795454545454546,0.5660984848484848,0.5795454545454546,0.5692097970859034,0.3977272727272727,0.15818698347107438,0.3977272727272727,0.22634885439763489,0.6022727272727273,0.36273243801652894,0.6022727272727273,0.4527724049000645,0.5909090909090909,0.642514089683901,0.5909090909090909,0.5909090909090909
31195_40680,1.0,1.0,1.0,1.0,0.99788797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9318181818181818,0.9329324995991662,0.9318181818181818,0.93229983822848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51285_82414,0.8,1.0,0.8,0.888888888888889,0.9980331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.2,0.3333333333333333,1.0,1.0,1.0,1.0,0.9,1.0,0.9,0.9473684210526315
13866_59462,0.1875,0.03515625,0.1875,0.05921052631578947,0.99820435,0.1875,0.03515625,0.1875,0.05921052631578947,0.1875,0.03515625,0.1875,0.05921052631578947,0.1875,0.03515625,0.1875,0.05921052631578947,0.1875,0.03515625,0.1875,0.05921052631578947,0.375,0.140625,0.375,0.20454545454545453
67306_87953,0.5076923076923077,0.5124799299372355,0.5076923076923077,0.5081585081585082,0.9974524,0.5384615384615384,0.5498575498575499,0.5384615384615384,0.5358341847905415,0.5538461538461539,0.5680473372781064,0.5538461538461539,0.5500301551620156,0.5384615384615384,0.28994082840236685,0.5384615384615384,0.3769230769230769,0.5538461538461539,0.5680473372781064,0.5538461538461539,0.5500301551620156,0.5384615384615384,0.546419098143236,0.5384615384615384,0.537805944055944
82961_94292,1.0,1.0,1.0,1.0,0.997756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8902439024390244,0.8979276380825709,0.8902439024390244,0.8927119907370513,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76811_92158,1.0,1.0,1.0,1.0,0.9976684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9850746268656716,0.9860696517412935,0.9850746268656716,0.9852608876798274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53820_55034,1.0,1.0,1.0,1.0,0.9976881,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70999_92628,0.4318181818181818,0.8537353735373537,0.4318181818181818,0.4440641834170198,0.99749774,0.4318181818181818,0.8537353735373537,0.4318181818181818,0.4440641834170198,0.4318181818181818,0.8537353735373537,0.4318181818181818,0.4440641834170198,0.5378787878787878,0.8618948101706723,0.5378787878787878,0.5692682554312983,0.4318181818181818,0.8537353735373537,0.4318181818181818,0.4440641834170198,0.4318181818181818,0.8537353735373537,0.4318181818181818,0.4440641834170198
55660_56016,0.7521367521367521,0.7681933605846649,0.7521367521367521,0.7477083162335898,0.99778986,0.7350427350427351,0.762108262108262,0.7350427350427351,0.727466261215979,0.7350427350427351,0.762108262108262,0.7350427350427351,0.727466261215979,0.49572649572649574,0.2457447585652714,0.49572649572649574,0.32859584859584856,0.7435897435897436,0.7538587152794134,0.7435897435897436,0.7406311637080868,0.7435897435897436,0.7547190398254228,0.7435897435897436,0.7410951862602805
54960_55034,0.4573643410852713,0.35796655775514125,0.4573643410852713,0.33023392452108324,0.99811584,0.4496124031007752,0.444196977564015,0.4496124031007752,0.42361852599072103,0.4728682170542636,0.47311929196874114,0.4728682170542636,0.4498292405269149,0.5116279069767442,0.26176311519740403,0.5116279069767442,0.3463327370304115,0.4728682170542636,0.4737847023332188,0.4728682170542636,0.4564685615848406,0.49612403100775193,0.5026647286821705,0.49612403100775193,0.4644337184925162
31197_35723,0.41935483870967744,0.4238186573670445,0.41935483870967744,0.4145009606633633,0.99752796,0.532258064516129,0.5197132616487457,0.532258064516129,0.4559721011333914,0.532258064516129,0.5197132616487457,0.532258064516129,0.4559721011333914,0.46774193548387094,0.38306451612903225,0.46774193548387094,0.3809337702552385,0.5806451612903226,0.5782716582155571,0.5806451612903226,0.5739247311827956,0.45161290322580644,0.4577506538796861,0.45161290322580644,0.4470286850709543
00431_19868,0.48148148148148145,0.48888888888888893,0.48148148148148145,0.4300766283524904,0.99769706,0.691358024691358,0.6987654320987654,0.691358024691358,0.686163489342545,0.691358024691358,0.6987654320987654,0.691358024691358,0.686163489342545,0.6049382716049383,0.6396377995642701,0.6049382716049383,0.5683338324847759,0.49382716049382713,0.5166907166907166,0.49382716049382713,0.41777418755088824,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297
01492_77452,0.0,0.0,0.0,0.0,0.99761736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46911_68695,0.9636363636363636,0.9649831649831649,0.9636363636363636,0.9548885077186964,0.99750465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05454545454545454,0.0029752066115702478,0.05454545454545454,0.005642633228840126,0.9454545454545454,0.8938842975206611,0.9454545454545454,0.9189464740866611,1.0,1.0,1.0,1.0
52698_53496,0.8,1.0,0.8,0.888888888888889,0.9976549,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01085_83033,0.9878048780487805,0.9881436314363143,0.9878048780487805,0.9878251940175012,0.9978702,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4268292682926829,0.1821832242712671,0.4268292682926829,0.25536793829476756,0.9878048780487805,0.9881436314363143,0.9878048780487805,0.9878251940175012,0.9878048780487805,0.9881436314363143,0.9878048780487805,0.9878251940175012
16678_17221,0.25384615384615383,0.7053191489361702,0.25384615384615383,0.3387575590984057,0.99764144,0.7230769230769231,0.8112909025530385,0.7230769230769231,0.7627272727272726,0.7153846153846154,0.8100840336134455,0.7153846153846154,0.7577013030404276,0.9,0.8836065573770492,0.9,0.8891412631998407,0.9,0.8099999999999999,0.9,0.8526315789473684,0.2,0.6566746329805394,0.2,0.26767603941360246
48451_49696,0.41818181818181815,0.4212944664031621,0.41818181818181815,0.41470942850253195,0.99754083,0.4727272727272727,0.4527272727272727,0.4727272727272727,0.4440245509174459,0.45454545454545453,0.43414918414918413,0.45454545454545453,0.4297173414820474,0.41818181818181815,0.41818181818181815,0.41818181818181815,0.41818181818181815,0.4727272727272727,0.4662337662337662,0.4727272727272727,0.4656043719873507,0.509090909090909,0.51007696007696,0.509090909090909,0.5094159068339803
95784_95928,0.37735849056603776,0.4117951077914263,0.37735849056603776,0.39296720838968585,0.9978039,0.5849056603773585,0.8221024258760108,0.5849056603773585,0.578394376618572,0.5943396226415094,0.8238579940417081,0.5943396226415094,0.5896785209510093,0.6886792452830188,0.47427910288358843,0.6886792452830188,0.5617160324654791,0.5377358490566038,0.8139668660837552,0.5377358490566038,0.5194607714621584,0.6226415094339622,0.8294132850865857,0.6226415094339622,0.6226415094339622
30153_30669,1.0,1.0,1.0,1.0,0.9974878,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.411214953271028,0.16909773779369378,0.411214953271028,0.2396484495884137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
